Title,Description,Ingredients,Directions,Link
Tomato Pie Dip,"""Very creamy and so flavorful!""","['cooking spray', '3 red beefsteak tomatoes, cored', '1 teaspoon kosher salt, divided', '1 (8-ounce) package cream cheese, softened', '1/2 cup mayonnaise', '1/2 cup chopped Vidalia onion (from 1 small [5 ounce] onion)', '1/4 cup loosely packed fresh basil leaves, cut into thin slices, plus more for garnish', '1/2 cup shredded low-moisture part-skim mozzarella cheese', '1/4 cup freshly grated Parmesan cheese', '1 1/2 teaspoons hot sauce (such as Tabasco)', '1 teaspoon Worcestershire sauce', '1/2 teaspoon onion powder', '1/4 teaspoon freshly ground black pepper', '1 cup shredded sharp Cheddar cheese', 'crostini toast']","['A Southern classic reimagined, this irresistible Tomato Pie Dip is perfect for any occasion of the season. With layers of ripe, juicy tomatoes, fresh basil, and a creamy three-cheese spread, this crowd-pleasing dip brings all the comfort of a traditional tomato pie straight to your appetizer spread.', '“The dip is very creamy and so flavorful with the tomatoes. Basil lightens up the palate quite a bit, and it doesn’t taste greasy,” said test kitchen cross-tester Renu Dhar. “It’s quite fun and very communal.”', 'Gather all ingredients. Preheat oven to 350 degrees F (175 degrees C). Lightly coat a 10-inch skillet with cooking spray; set aside.', 'Trim top and bottom of 1 of the tomatoes; cut into 6 (1/4-inch-thick) slices; place slices between 2 layers of paper towels; set aside. Seed and chop remaining tomatoes; place in a colander set over a medium bowl; sprinkle with 1/4 teaspoon of the salt, tossing gently to distribute salt. Let stand for 10 minutes. Lightly pat tomatoes dry with a clean kitchen towel; discard liquid.', 'While tomatoes are resting, stir together cream cheese, mayonnaise, onion, basil, mozzarella cheese, Parmesan cheese, hot sauce, Worcestershire sauce, onion powder, black pepper, 3/4 cup of the Cheddar cheese, and remaining 3/4 teaspoon salt in a medium bowl until thoroughly combined; gently fold in chopped tomatoes until evenly distributed.', 'Transfer tomato mixture to prepared skillet, spreading it into an even layer. Sprinkle evenly with remaining 1/4 cup Cheddar cheese and top with sliced tomatoes.', 'Bake in the preheated oven until cheese is fully melted and edges are bubbling, 25 to 30 minutes.', 'Garnish with additional basil and serve immediately with crostini.']",https://www.allrecipes.com/tomato-pie-dip-recipe-8682445
Sparkling PB&J Sidecars,"A classic sidecar calls for Cognac, orange liqueur, and lemon juice, but this PB&J-inspired rendition subs in peanut butter whiskey and adds raspberry liqueur. Top it off with sparkling water for an effervescent cocktail with a hint of nostalgia.","['superfine sugar', '1 lemon wedge', 'ice, as needed', '3 fluid ounces peanut butter whiskey (such as Skrewball)', '1 1/2 fluid ounces lemon juice', '1 1/2 fluid ounces orange liqueur (such as Cointreau®)', '1 fluid ounce raspberry liqueur (such as Chambord)', '3 fluid ounces sparkling water', 'fresh raspberries, for garnish']","['Spread sugar on a small plate. Rub rims of 2 cocktail glasses with lemon wedge. Dip rims in sugar to coat.', 'Fill a cocktail shaker half full with ice. Add whiskey, lemon juice, orange liqueur, and raspberry liqueur. Cover and shake until outside of shaker is frosted, about 60 seconds. Strain into prepared glasses. Top each cocktail with 1 1/2 ounces sparkling water and garnish with a raspberry.']",https://www.allrecipes.com/sparkling-pb-and-j-sidecars-recipe-8691881
Mushroom Pilaf with Pine Nuts and Dried Cherries,Savory mushrooms and sweet cherries combine in this simple rice pilaf. It’s a perfect side for summer or fall mains.,"['3 teaspoons olive oil, divided', '8 ounces cremini mushrooms, sliced', '1 cup long grain white rice', '5 1/2 cups low-sodium vegetable stock', '1/4 cup pine nuts', '1/4 cup dried cherries', '1/2 teaspoon salt', '1/2 teaspoon freshly ground black pepper', 'fresh basil,\xa0for garnish']","['Preheat the oven to 350 degrees F (175 degrees C).', 'Heat 2 teaspoons oil over medium heat in a large oven-safe skillet. Add mushrooms; cook, stirring occasionally, until browned, about 8 minutes. Add remaining 1 teaspoon olive oil and the rice; cook, stirring occasionally, until rice is fragrant, about 2 minutes. Stir in stock, pine nuts, cherries, salt, and pepper. Bring to a boil.', 'Bake, covered, in the preheated oven until liquid is absorbed, about 17 minutes. Let stand, covered, 5 minutes. Fluff with a fork. Sprinkle with fresh basil.']",https://www.allrecipes.com/mushroom-pilaf-with-pine-nuts-and-dried-cherries-recipe-8691875
Parmesan-Garlic Green Beans,These cheesy green beans come together in just 30 minutes in the oven. Pair them with your favorite summer mains.,"['1 pound trimmed green beans', '1/2 teaspoon ground black pepper', '1/2 cup grated Parmesan cheese', '1/8 teaspoon crushed red pepper', '1 teaspoon minced garlic']","['Preheat the oven to 400 degrees F (200 degrees C). Arrange green beans on a parchment paper-lined rimmed baking sheet. Lightly coat with cooking spray. Sprinkle with black pepper; toss to coat.', 'Roast in the preheated oven until softened, 15 to 20 minutes.', 'Add Parmesan, garlic, and crushed red pepper; toss to coat. Roast until cheese is melted, about 5 minutes. Sprinkle with additional cheese and crushed red pepper.']",https://www.allrecipes.com/parmesan-garlic-green-beans-recipe-8691868
Squash Gratin with Mornay Sauce,"Use up in-season squash with this quick gratin. It’s topped with a creamy Mornay sauce, a classic bèchamel plus Gruyère cheese.","['1/2 cup water', '3/4 cup thinly sliced Vidalia onion', '8 ounces zucchini, sliced 1/4-inch thick', '8 ounces yellow squash, sliced 1/4-inch thick', '1 1/2 teaspoons chopped fresh oregano', '1/2 teaspoon salt, divided', '1 tablespoon olive oil', '1 tablespoon all-purpose flour', '1/8 teaspoon freshly ground black pepper', '2/3 cup whole milk', '1/2 cup shredded Gruyere cheese']","['Set oven rack 6 inches from heat source; preheat broiler. Bring water to a boil in a large skillet; add onion, zucchini, and yellow squash. Reduce heat; simmer, covered, until tender, 7 to 9 minutes. Drain. Transfer to a 1-quart baking dish. Sprinkle with oregano and 1/4 teaspoon salt.', 'In a small saucepan, heat oil over medium heat. Whisk in flour, pepper, and remaining 1/4 teaspoon salt; cook until foaming, then whisk in milk until thickened, about 2 minutes. Stir in Gruyère cheese until melted; pour over vegetable mixture.', 'Broil until browned, about 2 minutes. Sprinkle with more oregano and pepper.']",https://www.allrecipes.com/squash-gratin-with-mornay-sauce-recipe-8691856
One Pan Spicy Soy Noodles with Chicken,A quick and easy one pan recipe with linguine and chicken pieces in a spicy soy-based sauce. Perfect for busy weeknights with minimal clean up.,"['1 1/4 pounds boneless skinless chicken breast or tenders, cut into 1-inch pieces', '1/2 teaspoon garlic powder', '1/2 teaspoon paprika', '1 1/2 teaspoons kosher salt', '1/2 teaspoon freshly ground black pepper', '1 1/2 cups water, plus more as needed', '1/4 cup soy sauce', '2 tablespoons apple cider vinegar', '2 tablespoons neutral oil, divided', '2 teaspoons sesame oil', '2 cloves garlic, minced', '1 tablespoon minced ginger', '1/4 teaspoon crushed red pepper, plus more for garnish to taste', '8 ounces uncooked linguine pasta', '2 tablespoons brown sugar', '2 teaspoons sesame seeds', '3 green onions, thinly sliced']","['Season chicken with garlic powder, paprika, salt, and pepper.\xa0Whisk together 1 1/2 cups water with soy sauce and vinegar in a 2 cup measuring cup or bowl. Set aside.', 'Heat 1 tablespoon oil in a large deep skillet over medium-high heat.\xa0Add chicken and cook, stirring occasionally, until browned on all sides (Chicken will not be cooked through at this point).\xa0 Remove chicken from skillet and set aside.', 'Add remaining neutral oil and sesame oil to skillet.\xa0Add garlic and ginger and cook until fragrant, about 1 minute, stirring constantly.\xa0Stir in crushed red pepper.\xa0Add pasta and stir to coat in garlic mixture.\xa0Add reserved soy sauce mixture and stir until everything is well incorporated, scraping any browned bits from bottom of skillet.\xa0Bring mixture to a boil and reduce to simmer.', 'Add chicken and any accumulated juices into skillet along with brown sugar.\xa0Stir and cook, stirring occasionally, until pasta is cooked and sauce is thickened, 10 to 12 minutes. Add additional water as needed to keep mixture saucy until pasta is cooked.\xa0Stir in green onions, sesame seeds and more crushed red pepper if desired.']",https://www.allrecipes.com/one-pan-spicy-soy-noodles-with-chicken-recipe-8693474
One Pan Lemon Garlic Parmesan Chicken,This one pan lemon garlic Parmesan chicken recipe will surely become a family favorite.,"['3 tablespoons freshly squeezed lemon juice', '1 teaspoon lemon zest', '1/4 cup extra virgin olive oil', '1/2 teaspoon oregano', '1 teaspoon garlic powder', '2 1/2 teaspoons kosher salt, divided', '1 teaspoon freshly ground black pepper, divided', '2 pounds red potatoes, cut into 1-inch cubes', '3 boneless skinless chicken breasts', '1 (8-ounce) package steam-in-bag green beans', '3 tablespoons softened butter, divided', '2 tablespoons mayonnaise', '1/3 cup freshly grated Parmesan cheese', 'chopped fresh parsley for garnish (optional']","['Preheat the oven to 425 degrees F (220 degrees C).', 'Whisk together lemon juice, lemon zest, olive oil, oregano, garlic powder, 2 teaspoon salt, and 1/2 teaspoon pepper in a bowl until well combined.', 'Slice chicken in half lengthwise and pound slightly to a uniform thickness\xa0 (Alternatively, you can use 6 chicken cutlets), and place chicken in a shallow dish or large resealable bag. Pour half of the olive oil mixture over chicken and toss well to coat. Let chicken marinate 30 minutes while potatoes are prepared.', 'Add potatoes to remaining marinade and toss well.\xa0Transfer potatoes to a lightly greased 9x13 baking dish and season with remaining salt and pepper.', 'Bake in the preheated oven until potatoes are just tender, tossing halfway through, 25 to 30 minutes.', 'Meanwhile, prepare green beans according to microwave package directions.', 'Remove potatoes from the oven and toss green beans with potatoes. Top with dollops of half of the softened butter. Remove chicken from marinade and place on top of potatoes and green beans.\xa0Reserve any remaining marinade in the bowl.', 'Add remaining\xa0butter, mayonnaise, and Parmesan cheese to the bowl with any remaining marinade and mix well.\xa0Spread butter mixture over evenly over chicken and return pan to oven.', 'Bake in the preheated oven until chicken is cooked through, 20 to 25 minutes. If you like your chicken browned, broil on high the last 2 minutes to brown the tops of the chicken. Sprinkle with parsley if desired.']",https://www.allrecipes.com/one-pan-lemon-garlic-parmesan-chicken-recipe-8693366
New England Beach Pizza,"When I heard New England beach pizza called ""America's worst pizza,"" I knew I had to give it a try. With a thin crust, a very sweet sauce, no toppings but a scant sprinkle of mozzarella and full slices of provolone—well, it does deserve a certain reputation. I admit that it is good in a guilty-pleasure sort of way, and a really fun experiment.","['2 tablespoons olive oil', '3 cloves garlic, crushed', '1/4 cup tomato paste', '2 cups marinara sauce', '1/4 cup water', '1/4 cup white sugar, or to taste', '1/4 teaspoon dried oregano', '1/4 teaspoon chili flakes (optional)', '2 tablespoons olive oil', '24 ounces pizza dough', '3 ounces shredded mozzarella cheese', '12 slices provolone cheese']","['Preheat the oven to 475 degrees F (245 degrees C).', 'Heat olive oil in a saucepan over medium heat; sauté garlic until fragrant, about 30 seconds. Stir in tomato paste, and cook, stirring, for another 30 seconds. Add marinara, water, sugar, oregano, and chili flakes. Bring to a simmer, and cook, stirring occasionally, for 10 to 15 minutes. Taste for seasoning and adjust if need be. Turn off heat and reserve.', 'Roll and stretch dough into a rectangle about 15x10 inches. Rub a 13x18-inch half sheet pan with olive oil and transfer dough on. Push, pull, and stretch dough to cover pan. If dough pulls back from the edge, let it rest for a few minutes, and then continue shaping.', 'Top dough with a light layer of sauce (the recipe will make extra sauce). Top with mozzarella cheese.', 'Bake in the preheated oven until the crust is cooked through, and the bottom is golden brown, 15 to 20 minutes.', 'As soon as pizza comes out of the oven, top with slices of provolone. Pizza can be served immediately, or placed back in the oven for a few minutes to melt provolone even more.']",https://www.allrecipes.com/new-england-beach-pizza-recipe-8693117
Beef Birria Queso Tacos with Consommé,"Birria tacos are so delicious and this recipe is my take on the world's most trendy taco. Seriously, when you make these, you'll understand what all the fuss is about. Start with a batch of my beef birria and use some of the sauce in these shredded beef tacos with cheese. A super savory, aromatic consommé is served on the side for dipping.","['2 cups reserved sauce from beef birria recipe', '1 cup chicken broth', '¼ cup diced carrots', '¼ cup diced celery', '½ cup diced cabbage', '3 tablespoons reserved beef fat from beef birria recipe, or more as needed', '8 (5 inch) corn tortillas', '2 cups freshly grated Monterey Jack cheese', '2 cups shredded Beef Birria', '4 tablespoons chopped white onion, or to taste, divided', '4 tablespoons chopped fresh cilantro, or to taste, divided', '1 medium lime, cut into 4 wedges']","['To make the consommé: Stir beef birria sauce, chicken broth, carrots, celery, and cabbage together in a saucepan over high heat. Bring to a simmer, then reduce the heat to medium-low and simmer, occasionally brushing the caramelized bits (fond) off the side with the hot liquid, until vegetables are nice and tender and consommé has reached the desired consistency, about 20 minutes. Reduce the heat to low and keep hot while you prepare the tacos.', 'To make the tacos: Heat some reserved beef fat in a large skillet over medium heat until melted. Add two tortillas and flip with a spatula until generously coated in fat. Toast briefly until golden brown, then cover with Monterey Jack cheese and some shredded beef. Drizzle each taco with about 1 tablespoon consommé liquid, then top with some white onion and cilantro.', 'Fold tacos in half and press gently. Continue to cook, flipping back and forth, until browned and crispy, 2 to 3 minutes. Transfer to a plate and repeat to make remaining tacos, adding more fat if necessary.', 'Ladle consommé into a bowl and garnish with any remaining white onion and cilantro. Squeeze lime wedges into consommé and serve with tacos.', ""The total time for this recipe does not include the time for making Chef John's beef birria recipe. Nutrition data for this recipe does not include ingredients Chef John's beef birria recipe.""]",https://www.allrecipes.com/recipe/282114/beef-birria-queso-tacos-with-consome/
Slow Cooker Loaded Chicken and Potatoes,"""Hearty, creamy, saucy goodness.""","['1/2 cup chicken broth', '3 1/2 tablespoon ranch dressing mix', '2 pounds boneless, skinless chicken breasts', '1 1/2 pounds yellow baby\xa0new potatoes', '2 tablespoons olive oil', '1 teaspoon kosher salt', '1/2 teaspoon freshly ground black pepper', '6 ounces\xa0cream cheese, cubed at room temperature', '1/4 cup ranch dressing', '2 cups shredded sharp\xa0Cheddar cheese, divided, plus more for garnish', 'cooked and crumbled\xa0bacon to taste', 'thinly sliced\xa0scallions for garnish']","['Get ready to dive into a bowlful of comfort with this decadent slow cooker dinner. Shredded chicken and fork-tender potatoes are served in a creamy, dreamy ranch sauce for a simple, yet oh-so satisfying family meal.', '“This slow cooker recipe is what cravings are made of,” said recipe developer Amanda Holstein.', 'Gather all ingredients', 'Stir together chicken broth and ranch dressing mix in the bottom of a 5-quart slow cooker until combined. Add chicken breasts in an even layer over broth mixture, followed by an even layer of potatoes. Drizzle with oil and sprinkle with salt and pepper.', 'Cover and cook until chicken is cooked through and potatoes are fork tender, about 2 hours and 45 minutes on HIGH or about 3 hours and 45 minutes on LOW.', 'Remove chicken breasts from the slow cooker and place them on a cutting board. Let them cool slightly for 5 minutes. Coarsely shred the chicken using 2 forks.', 'Add cream cheese, ranch dressing, and 1 1/2 cups of the shredded cheese to slow cooker. Cover and cook on HIGH until cheeses begin to melt and potatoes are fully tender, about 10 minutes. Uncover and stir cheese mixture until just about fully combined.', 'Add shredded chicken back to slow cooker and stir until evenly coated in cheese mixture.', 'Divide among 8 shallow bowls. Garnish with remaining 1/2 cup shredded cheese, top with bacon and scallions. Serve immediately.']",https://www.allrecipes.com/slow-cooker-loaded-chicken-and-potatoes-recipe-8678923
